,_id,AvgDuration,StdDuration
73,"{'year': {'year': 'init_date'}, 'day': 159}",2579.0516962843294,7568.236474994084
74,"{'year': {'year': 'init_date'}, 'day': 160}",2405.1070336391435,6187.4174053949655
75,"{'year': {'year': 'init_date'}, 'day': 161}",1739.729792147806,2892.2216264016824
76,"{'year': {'year': 'init_date'}, 'day': 162}",1451.0113636363637,943.6704149985815
77,"{'year': {'year': 'init_date'}, 'day': 163}",2789.206303724928,8800.476688239496
78,"{'year': {'year': 'init_date'}, 'day': 164}",1887.7207357859531,2231.4892294628767
79,"{'year': {'year': 'init_date'}, 'day': 166}",2952.5706737120213,14463.668438245692
80,"{'year': {'year': 'init_date'}, 'day': 167}",2511.6784015223598,9724.648321237171
81,"{'year': {'year': 'init_date'}, 'day': 168}",4396.472081218274,21191.02363234924
82,"{'year': {'year': 'init_date'}, 'day': 169}",3700.71875,13978.07908551452
83,"{'year': {'year': 'init_date'}, 'day': 170}",2581.045407636739,8369.371554960166
84,"{'year': {'year': 'init_date'}, 'day': 171}",2787.081780538302,8143.9721298834365
85,"{'year': {'year': 'init_date'}, 'day': 172}",3131.198847262248,11032.071539005165
86,"{'year': {'year': 'init_date'}, 'day': 173}",2232.9546666666665,5506.392053579428
87,"{'year': {'year': 'init_date'}, 'day': 174}",2581.1423550087875,12131.726225116367
88,"{'year': {'year': 'init_date'}, 'day': 175}",3557.3767926988266,16053.185364660818
89,"{'year': {'year': 'init_date'}, 'day': 176}",4289.53264604811,16682.338251813002
90,"{'year': {'year': 'init_date'}, 'day': 177}",2812.4888059701493,12101.063456021777
91,"{'year': {'year': 'init_date'}, 'day': 178}",2536.783924843424,7765.792407229553
92,"{'year': {'year': 'init_date'}, 'day': 179}",1806.9441340782123,2018.0840545103522
93,"{'year': {'year': 'init_date'}, 'day': 180}",2831.792,14840.990118288468
94,"{'year': {'year': 'init_date'}, 'day': 181}",3003.553892215569,14013.069960723864
95,"{'year': {'year': 'init_date'}, 'day': 182}",3393.1819389110224,19804.000016968228
96,"{'year': {'year': 'init_date'}, 'day': 183}",4301.995016611296,16993.266764336262
97,"{'year': {'year': 'init_date'}, 'day': 184}",3111.8459979736576,24373.735436682196
98,"{'year': {'year': 'init_date'}, 'day': 185}",2841.7377584330793,9765.064717429266
99,"{'year': {'year': 'init_date'}, 'day': 186}",2996.3008385744233,19706.91656504739
100,"{'year': {'year': 'init_date'}, 'day': 187}",4191.2675474814205,40801.33115731861
101,"{'year': {'year': 'init_date'}, 'day': 188}",3119.4331046312177,13430.585378180098
102,"{'year': {'year': 'init_date'}, 'day': 189}",5014.180147058823,35552.265495236345
103,"{'year': {'year': 'init_date'}, 'day': 190}",3323.3868194842407,11562.234055274008
104,"{'year': {'year': 'init_date'}, 'day': 191}",3128.736084452975,11232.102025966082
105,"{'year': {'year': 'init_date'}, 'day': 192}",3768.2555879494653,31915.91493691249
106,"{'year': {'year': 'init_date'}, 'day': 193}",3043.819004524887,9254.727144507115
107,"{'year': {'year': 'init_date'}, 'day': 194}",3306.3356401384085,22731.030667056293
108,"{'year': {'year': 'init_date'}, 'day': 195}",3066.6995555555554,13842.198271483705
109,"{'year': {'year': 'init_date'}, 'day': 196}",3194.8474576271187,12825.573000720437
110,"{'year': {'year': 'init_date'}, 'day': 197}",3500.773371104816,12075.911171302752
111,"{'year': {'year': 'init_date'}, 'day': 198}",2464.2821031344793,9584.281701481868
112,"{'year': {'year': 'init_date'}, 'day': 199}",3050.6595528455287,11852.39947864449
113,"{'year': {'year': 'init_date'}, 'day': 200}",2793.083984375,8556.823279779952
114,"{'year': {'year': 'init_date'}, 'day': 201}",2237.2074569789675,5674.707856799403
115,"{'year': {'year': 'init_date'}, 'day': 202}",2168.1714039621015,4350.763597565841
116,"{'year': {'year': 'init_date'}, 'day': 203}",1712.2271293375395,2165.2641701026323
117,"{'year': {'year': 'init_date'}, 'day': 208}",2617.9235074626868,8339.35779049891
118,"{'year': {'year': 'init_date'}, 'day': 209}",3474.654223968566,16336.777444087593
119,"{'year': {'year': 'init_date'}, 'day': 210}",4640.111269614836,19472.551552500627
120,"{'year': {'year': 'init_date'}, 'day': 211}",3243.1524163568774,11629.561476060398
121,"{'year': {'year': 'init_date'}, 'day': 212}",3062.8387824126266,13137.650344864944
122,"{'year': {'year': 'init_date'}, 'day': 213}",2655.6402298850576,7443.493251448447
123,"{'year': {'year': 'init_date'}, 'day': 214}",2511.6376470588234,7389.434659932127
124,"{'year': {'year': 'init_date'}, 'day': 215}",2822.2259215219974,7567.777087210365
125,"{'year': {'year': 'init_date'}, 'day': 216}",2625.099109131403,6456.485502213161
126,"{'year': {'year': 'init_date'}, 'day': 217}",4173.005163511188,18577.286095284915
