,_id,date,total
92,"{'day': 4, 'hour': 20}",2018-01-24 20:58:59,2133
93,"{'day': 4, 'hour': 21}",2018-01-24 21:57:24,1538
94,"{'day': 4, 'hour': 22}",2018-01-24 22:58:28,1511
95,"{'day': 4, 'hour': 23}",2018-01-24 23:57:42,1326
96,"{'day': 5, 'hour': 0}",2018-01-25 00:59:16,1022
97,"{'day': 5, 'hour': 1}",2018-01-25 01:52:01,463
98,"{'day': 5, 'hour': 2}",2018-01-25 02:55:46,237
99,"{'day': 5, 'hour': 3}",2018-01-25 03:52:40,149
100,"{'day': 5, 'hour': 4}",2018-01-25 04:42:58,192
101,"{'day': 5, 'hour': 5}",2018-01-25 05:58:49,376
102,"{'day': 5, 'hour': 6}",2018-01-25 06:56:49,618
103,"{'day': 5, 'hour': 7}",2018-01-25 07:59:17,1525
104,"{'day': 5, 'hour': 8}",2018-01-25 08:59:30,2894
105,"{'day': 5, 'hour': 9}",2018-01-25 09:59:46,2387
106,"{'day': 5, 'hour': 10}",2018-01-25 10:59:20,1920
107,"{'day': 5, 'hour': 11}",2018-01-25 11:58:28,1876
108,"{'day': 5, 'hour': 12}",2018-01-25 12:56:56,2333
109,"{'day': 5, 'hour': 13}",2018-01-25 13:59:59,2295
110,"{'day': 5, 'hour': 14}",2018-01-25 14:59:39,2545
111,"{'day': 5, 'hour': 15}",2018-01-25 15:59:54,2225
112,"{'day': 5, 'hour': 16}",2018-01-25 16:59:10,2483
113,"{'day': 5, 'hour': 17}",2018-01-25 17:57:03,3015
114,"{'day': 5, 'hour': 18}",2018-01-25 18:59:04,3004
115,"{'day': 5, 'hour': 19}",2018-01-25 19:59:21,2785
116,"{'day': 5, 'hour': 20}",2018-01-25 20:59:55,2419
117,"{'day': 5, 'hour': 21}",2018-01-25 21:58:55,1773
118,"{'day': 5, 'hour': 22}",2018-01-25 22:58:07,1589
119,"{'day': 5, 'hour': 23}",2018-01-25 23:58:48,1517
120,"{'day': 6, 'hour': 0}",2018-01-26 00:58:37,1254
121,"{'day': 6, 'hour': 1}",2018-01-26 01:56:56,660
122,"{'day': 6, 'hour': 2}",2018-01-26 02:59:09,331
123,"{'day': 6, 'hour': 3}",2018-01-26 03:57:58,180
124,"{'day': 6, 'hour': 4}",2018-01-26 04:54:21,292
125,"{'day': 6, 'hour': 5}",2018-01-26 05:58:43,436
126,"{'day': 6, 'hour': 6}",2018-01-26 06:50:58,702
127,"{'day': 6, 'hour': 7}",2018-01-26 07:58:58,1663
128,"{'day': 6, 'hour': 8}",2018-01-26 08:59:46,3136
129,"{'day': 6, 'hour': 9}",2018-01-26 09:59:40,2629
130,"{'day': 6, 'hour': 10}",2018-01-26 10:59:53,2061
131,"{'day': 6, 'hour': 11}",2018-01-26 11:59:29,2161
132,"{'day': 6, 'hour': 12}",2018-01-26 12:58:55,2474
133,"{'day': 6, 'hour': 13}",2018-01-26 13:59:20,2424
134,"{'day': 6, 'hour': 14}",2018-01-26 14:58:13,2561
135,"{'day': 6, 'hour': 15}",2018-01-26 15:59:23,2611
136,"{'day': 6, 'hour': 16}",2018-01-26 16:59:41,2765
137,"{'day': 6, 'hour': 17}",2018-01-26 17:58:56,3029
138,"{'day': 6, 'hour': 18}",2018-01-26 18:58:54,3036
139,"{'day': 6, 'hour': 19}",2018-01-26 19:59:15,2877
140,"{'day': 6, 'hour': 20}",2018-01-26 20:58:47,2620
141,"{'day': 6, 'hour': 21}",2018-01-26 21:59:55,1935
142,"{'day': 6, 'hour': 22}",2018-01-26 22:59:20,1911
143,"{'day': 6, 'hour': 23}",2018-01-26 23:58:58,1778
144,"{'day': 7, 'hour': 0}",2018-01-27 00:58:44,1607
145,"{'day': 7, 'hour': 1}",2018-01-27 01:57:53,1214
146,"{'day': 7, 'hour': 2}",2018-01-27 02:55:28,739
147,"{'day': 7, 'hour': 3}",2018-01-27 03:52:05,550
148,"{'day': 7, 'hour': 4}",2018-01-27 04:59:19,429
149,"{'day': 7, 'hour': 5}",2018-01-27 05:48:22,516
150,"{'day': 7, 'hour': 6}",2018-01-27 06:57:30,538
151,"{'day': 7, 'hour': 7}",2018-01-27 07:58:09,610
152,"{'day': 7, 'hour': 8}",2018-01-27 08:57:51,1241
153,"{'day': 7, 'hour': 9}",2018-01-27 09:59:20,1620
154,"{'day': 7, 'hour': 10}",2018-01-27 10:58:10,1942
155,"{'day': 7, 'hour': 11}",2018-01-27 11:57:23,1964
156,"{'day': 7, 'hour': 12}",2018-01-27 12:58:50,2111
157,"{'day': 7, 'hour': 13}",2018-01-27 13:58:51,1989
158,"{'day': 7, 'hour': 14}",2018-01-27 14:59:55,1861
159,"{'day': 7, 'hour': 15}",2018-01-27 15:59:38,1930
160,"{'day': 7, 'hour': 16}",2018-01-27 16:59:30,2064
161,"{'day': 7, 'hour': 17}",2018-01-27 17:58:17,2063
162,"{'day': 7, 'hour': 18}",2018-01-27 18:59:38,2118
163,"{'day': 7, 'hour': 19}",2018-01-27 19:57:12,2259
164,"{'day': 7, 'hour': 20}",2018-01-27 20:59:17,2000
165,"{'day': 7, 'hour': 21}",2018-01-27 21:59:41,1450
166,"{'day': 7, 'hour': 22}",2018-01-27 22:59:28,1459
167,"{'day': 7, 'hour': 23}",2018-01-27 23:59:01,1600
